Pathway	KEGG_ortholog	Step	Description
Oxidative Phosphorylation	K00237	A_2_a_4-4	SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit 
Oxidative Phosphorylation	K00239	A_2_b_1-4	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4] 
Oxidative Phosphorylation	K00240	A_2_b_2-4	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4] 
Oxidative Phosphorylation	K00241	A_2_b_3-4	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit 
Oxidative Phosphorylation	K00242	A_2_b_4-4	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit 
Oxidative Phosphorylation	K02257	A_3_a_1-5	COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141] 
Oxidative Phosphorylation	K02300	A_3_a_2-5	cyoD; cytochrome o ubiquinol oxidase subunit IV 
Oxidative Phosphorylation	K02299	A_3_a_3-5	cyoC; cytochrome o ubiquinol oxidase subunit III 
Oxidative Phosphorylation	K02298	A_3_a_4-5	cyoB; cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3] 
Oxidative Phosphorylation	K02297	A_3_a_5-5	cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3] 
Oxidative Phosphorylation	K00404	A_3_b_1-4	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] 
Oxidative Phosphorylation	K00405	A_3_b_2-4	ccoO; cytochrome c oxidase cbb3-type subunit II 
Oxidative Phosphorylation	K00407	A_3_b_3-4	ccoQ; cytochrome c oxidase cbb3-type subunit IV 
Oxidative Phosphorylation	K00406	A_3_b_4-4	ccoP; cytochrome c oxidase cbb3-type subunit III 
Oxidative Phosphorylation	K00411	A_4_a_1-3:A_4_d_1-3	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8] 
Oxidative Phosphorylation	K00410	A_4_a_2-3	fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit 
Oxidative Phosphorylation	K00413	A_4_a_3-3:A_4_d_3-3	CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit 
Oxidative Phosphorylation	K03886	A_4_b_1-3	MQCRA, qcrA, bfcA, petC; menaquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.-] 
Oxidative Phosphorylation	K03887	A_4_b_2-3	MQCRB, qcrB, bfcB, petB; menaquinol-cytochrome c reductase cytochrome b subunit 
Oxidative Phosphorylation	K03888	A_4_b_3-3	MQCRC, qcrC, bfcC, petD; menaquinol-cytochrome c reductase cytochrome b/c subunit 
Oxidative Phosphorylation	K03890	A_4_c_1-3	qcrA; ubiquinol-cytochrome c reductase iron-sulfur subunit 
Oxidative Phosphorylation	K03891	A_4_c_2-3	qcrB; ubiquinol-cytochrome c reductase cytochrome b subunit 
Oxidative Phosphorylation	K03889	A_4_c_3-3	qcrC; ubiquinol-cytochrome c reductase cytochrome c subunit 
Oxidative Phosphorylation	K00412	A_4_d_2-3	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit 
Oxidative Phosphorylation	K00425	A_5_a_1-2	cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7] 
Oxidative Phosphorylation	K00426	A_5_a_2-2	cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7] 
Oxidative Phosphorylation	K02111	A_6_a_1-8	ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1] 
Oxidative Phosphorylation	K02112	A_6_a_2-8	ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] 
Oxidative Phosphorylation	K02115	A_6_a_3-8	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma 
Oxidative Phosphorylation	K02113	A_6_a_4-8	ATPF1D, atpH; F-type H+-transporting ATPase subunit delta 
Oxidative Phosphorylation	K02114	A_6_a_5-8	ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon 
Oxidative Phosphorylation	K02108	A_6_a_6-8	ATPF0A, atpB; F-type H+-transporting ATPase subunit a 
Oxidative Phosphorylation	K02109	A_6_a_7-8	ATPF0B, atpF; F-type H+-transporting ATPase subunit b 
Oxidative Phosphorylation	K02110	A_6_a_8-8	ATPF0C, atpE; F-type H+-transporting ATPase subunit c 
